Issuer Name,Date,Last Transaction Price,Max.,Min.,Average Price,% Change,Quantity,Turnover in BEST in Denars,Total Turnover in Denars
ADIN,04.11.2024,"1.650,00",,,"1.650,00","0,00",0,0,0
ALK,04.11.2024,"22.300,00","22.300,00","22.250,00","22.293,98","-0,10",408,9.095.944,9.095.944
CKB,04.11.2024,"350,00",,,"350,00","0,00",0,0,0
DEBA,04.11.2024,"1.550,00",,,"1.550,00","0,00",0,0,0
DIMI,04.11.2024,"185,00",,,"185,00","0,00",0,0,0
EUHA,04.11.2024,"15,00",,,"15,00","0,00",0,0,0
EVRO,04.11.2024,"3.168,00",,,"3.168,00","0,00",0,0,0
FAKM,04.11.2024,"6.984,00",,,"6.984,00","0,00",0,0,0
FERS,04.11.2024,"53.561,00",,,"53.561,00","0,00",0,0,0
FUBT,04.11.2024,"2.101,00",,,"2.101,00","0,00",0,0,0
GALE,04.11.2024,"300,00",,,"300,00","0,00",0,0,0
GECK,04.11.2024,"310,00",,,"310,00","0,00",0,0,0
GECT,04.11.2024,"310,00",,,"310,00","0,00",0,0,0
GIMS,04.11.2024,"9.240,00",,,"9.240,00","0,00",0,0,0
GRNT,04.11.2024,"1.630,00","1.630,00","1.630,00","1.630,00","1,88",100,163.000,163.000
GRZD,04.11.2024,"2.250,00",,,"2.250,00","0,00",0,0,0
GTC,04.11.2024,"1.790,00",,,"1.790,00","0,00",0,0,0
GTRG,04.11.2024,"3.000,00",,,"3.000,00","0,00",0,0,0
INB,04.11.2024,"3.700,00",,,"3.700,00","0,00",0,0,0
KARO,04.11.2024,"1.538,00",,,"1.538,00","0,00",0,0,0
KDFO,04.11.2024,"1.235,00",,,"1.235,00","0,00",0,0,0
KJUBI,04.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,0
KLST,04.11.2024,"120,00",,,"120,00","0,00",0,0,0
KMB,04.11.2024,"24.897,00","24.900,00","24.600,00","24.882,60","1,89",417,10.376.043,10.376.043
KOMU,04.11.2024,"480,00",,,"480,00","0,00",0,0,0
KONF,04.11.2024,"100,00",,,"100,00","0,00",0,0,0
KONZ,04.11.2024,"119,00",,,"119,00","0,00",0,0,0
KPSS,04.11.2024,"350,00",,,"350,00","0,00",0,0,0
KVAS,04.11.2024,"12.000,00",,,"12.000,00","0,00",0,0,0
LOTO,04.11.2024,"150,00",,,"150,00","0,00",0,0,0
LOZP,04.11.2024,"2.619,00",,,"2.619,00","0,00",0,0,0
MAKP,04.11.2024,"600,00",,,"600,00","0,00",0,0,0
MAKS,04.11.2024,"20,00",,,"20,00","0,00",0,0,0
MB,04.11.2024,"89.458,00",,,"89.458,00","0,00",0,0,0
MERM,04.11.2024,"3.200,00","3.200,00","3.200,00","3.200,00","-3,03",53,169.600,169.600
MKSD,04.11.2024,"237,00",,,"237,00","0,00",0,0,0
MPOL,04.11.2024,"315,00",,,"315,00","0,00",0,0,0
MPT,04.11.2024,"85.500,00","85.500,00","85.499,00","85.499,91","0,00",11,940.499,940.499
MTUR,04.11.2024,"7.710,00",,,"7.754,83","0,00",0,0,315.276.500
MZPU,04.11.2024,"607,00",,,"607,00","0,00",0,0,0
NEME,04.11.2024,"1.900,00",,,"1.900,00","0,00",0,0,0
NOSK,04.11.2024,"61.500,00",,,"61.500,00","0,00",0,0,0
OKTA,04.11.2024,"5.919,00",,,"5.919,00","0,00",0,0,0
OTEK,04.11.2024,"45,00",,,"45,00","0,00",0,0,0
PKB,04.11.2024,"17.550,00",,,"17.550,00","0,00",0,0,0
POPK,04.11.2024,"16,00",,,"16,00","0,00",0,0,0
PPIV,04.11.2024,"35.000,00",,,"35.000,00","0,00",0,0,0
PROD,04.11.2024,"1.600,00",,,"1.600,00","0,00",0,0,0
RADE,04.11.2024,"2.000,00",,,"2.000,00","0,00",0,0,0
REPL,04.11.2024,"15.100,00","15.100,00","15.100,00","15.100,00","2,03",2,30.200,30.200
RZTK,04.11.2024,"577,00",,,"577,00","0,00",0,0,0
RZUG,04.11.2024,"20,00",,,"20,00","0,00",0,0,0
RZUS,04.11.2024,"45,00","45,00","45,00","45,00","0,00",200,9.000,9.000
SBT,04.11.2024,"3.300,00",,,"3.300,00","0,00",0,0,0
SDOM,04.11.2024,"30,00",,,"30,00","0,00",0,0,0
SIL,04.11.2024,"70,00",,,"70,00","0,00",0,0,0
SKP,04.11.2024,"65.105,00",,,"65.105,00","0,00",0,0,0
SLAV,04.11.2024,"3.100,00",,,"3.100,00","0,00",0,0,0
SOLN,04.11.2024,"309,00",,,"309,00","0,00",0,0,0
SPAZ,04.11.2024,"7.000,00",,,"7.000,00","0,00",0,0,0
SPAZP,04.11.2024,"4.000,00",,,"4.000,00","0,00",0,0,0
STB,04.11.2024,"1.997,00","1.997,00","1.997,00","1.997,00","0,00",27,53.919,53.919
STBP,04.11.2024,"650,00",,,"650,00","0,00",0,0,0
STIL,04.11.2024,"135,00",,,"135,00","0,00",0,0,0
STOK,04.11.2024,"1.200,00",,,"1.200,00","0,00",0,0,0
TAJM,04.11.2024,"970,00",,,"970,00","0,00",0,0,0
TEAL,04.11.2024,"730,00",,,"730,00","0,00",0,0,0
TEHN,04.11.2024,"1.000,00",,,"1.000,00","0,00",0,0,0
TEL,04.11.2024,"420,00",,,"420,00","0,00",0,0,0
TETE,04.11.2024,"2.716,00",,,"2.716,00","0,00",0,0,0
TIKV,04.11.2024,"1.000,00",,,"1.000,00","0,00",0,0,0
TKPR,04.11.2024,"250,00",,,"250,00","0,00",0,0,0
TKVS,04.11.2024,"6.700,00",,,"6.700,00","0,00",0,0,0
TNB,04.11.2024,"44.750,00","44.880,00","44.700,00","44.727,80","-0,02",104,4.651.691,4.651.691
TRDB,04.11.2024,,,,,,0,0,0
TRPS,04.11.2024,"1.800,00",,,"1.800,00","0,00",0,0,0
TSMP,04.11.2024,"97,00",,,"97,00","0,00",0,0,0
TTK,04.11.2024,"1.945,00",,,"1.945,00","0,00",0,0,0
UNI,04.11.2024,"7.285,00","7.285,00","7.100,00","7.137,00","-2,02",10,71.370,71.370
USJE,04.11.2024,"37.000,00",,,"37.000,00","0,00",0,0,0
VITA,04.11.2024,"10.101,00",,,"10.101,00","0,00",0,0,0
VROS,04.11.2024,"7.838,00",,,"7.838,00","0,00",0,0,0
VTKS,04.11.2024,"1.002,00",,,"1.002,00","0,00",0,0,0
ZAS,04.11.2024,"27,00",,,"27,00","0,00",0,0,0
ZILU,04.11.2024,"80,00",,,"80,00","0,00",0,0,0
ZILUP,04.11.2024,"560,00",,,"560,00","0,00",0,0,0
ZIMS,04.11.2024,"1.360,00",,,"1.360,00","0,00",0,0,0
ZKAR,04.11.2024,"615,00",,,"615,00","0,00",0,0,0
ZPKO,04.11.2024,"3.610,00",,,"3.610,00","0,00",0,0,0
