Issuer Name,Description
ALK,"Sentiment Scores: {'neg': 0.0, 'neu': 0.996, 'pos': 0.004, 'compound': 0.765}
Predicted stock price will increase.
Recommendation: Buy stocks."
CKB,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
GRNT,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
KMB,"Sentiment Scores: {'neg': 0.001, 'neu': 0.999, 'pos': 0.0, 'compound': -0.1027}
Predicted stock price will decrease.
Recommendation: Sell stocks."
MPT,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
MSTIL,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
MTUR,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
REPL,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
STB,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
SBT,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
TEL,"Sentiment Scores: {'neg': 0.0, 'neu': 0.997, 'pos': 0.003, 'compound': 0.8625}
Predicted stock price will increase.
Recommendation: Buy stocks."
TTK,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
TNB,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
UNI,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
VITA,"Sentiment Scores: {'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}
Predicted stock price will remain stable.
Recommendation: Hold stocks."
